,user_id,combined_features
25,37063,37063 218 paid_ins_organicfriend app_android Android App04.0
27,205761,205761 0 paid_ins_googleadwords_intsign up app_android Android App14.0
33,110826,110826 322 paid_ins_organicebbonus5 app_ios iOS App04.0
36,103795,103795 331 paid_ins_organicebbonus5 app_ios iOS App04.0
47,230355,230355 303 paid_ins_organicfriend app_android Android App04.0
60,72088,72088 41 paid_ins_organicfriend app_ios iOS App04.0
85,86022,86022 133 paid_ins_organicsign up app_ios iOS App04.0
126,76090,76090 281 paid_ins_organicebbonus5 app_android Android App04.0
140,60515,60515 127 paid_ins_organicpartnership app_ios iOS App04.0
144,135277,135277 311 paid_ins_organicebbonus5 app_android Android App04.0
145,101520,101520 168 paid_ins_organicsign up app_ios iOS App04.0
158,184290,184290 229 paid_ins_organicsign up app_android Android App04.0
225,162673,162673 82 paid_ins_organicpartnership app_android Android App04.0
251,40395,40395 263 paid_ins_organicebbonus5 app_android Android App04.0
262,39506,39506 119 paid_ins_restrictedsign up app_ios iOS App04.0
266,8976,8976 299 paid_ins_organicebbonus5 app_android Android App04.0
268,137982,137982 90 Directfriend app_android Android App04.0
313,43286,43286 298 paid_ins_organicsign up app_ios iOS App04.0
328,109339,109339 0 paid_ins_organicpartnership app_ios iOS App14.0
365,13616,13616 91 paid_ins_organicfriend app_android Android App04.0
367,122651,122651 139 paid_ins_organicsign up app_ios iOS App04.0
382,102955,102955 136 paid_ins_Facebook Adssign up app_android Android App04.0
398,175790,175790 242 paid_ins_organicsign up app_ios iOS App04.0
400,247356,247356 70 paid_ins_crmsign up app_ios iOS App04.0
414,167572,167572 197 paid_ins_organicsign up app_android Android App04.0
443,88844,88844 207 paid_ins_organicvisa app_android Android App04.0
453,159647,159647 18 paid_ins_organicfriend app_ios iOS App04.0
461,165444,165444 338 paid_ins_organicebbonus5 app_android Android App04.0
462,186913,186913 328 paid_ins_organicebbonus5 app_android Android App04.0
478,150942,150942 19 paid_ins_organicpartnership app_ios iOS App04.0
484,211018,211018 320 paid_ins_organicebbonus5 app_android Android App04.0
523,200545,200545 0 paid_ins_organicpartnership app_android Android App14.0
552,69923,69923 0 paid_ins_organicfriend app_android Android App14.0
565,221339,221339 0 paid_ins_organicsign up app_ios iOS App14.0
566,120742,120742 35 paid_ins_organicfriend app_android Android App04.0
584,231065,231065 0 paid_ins_organicsign up app_ios iOS App14.0
604,311,311 314 paid_ins_organicebbonus5 app_android Android App04.0
631,70620,70620 0 paid_ins_organicfriend app_ios iOS App14.0
639,13441,13441 201 paid_ins_organicsign up app_ios iOS App04.0
658,1481,1481 156 paid_ins_organicpartnership app_android Android App04.0
659,240815,240815 308 paid_ins_organicebbonus5 app_android Android App04.0
713,109121,109121 319 paid_ins_organicebbonus5 app_ios iOS App04.0
715,154397,154397 123 paid_ins_organicfriend app_ios iOS App04.0
741,90169,90169 153 paid_ins_organicfriend app_android Android App04.0
748,173023,173023 338 paid_ins_organicebbonus5 app_android Android App04.0
751,134731,134731 314 paid_ins_organicebbonus5 app_ios iOS App04.0
753,89333,89333 327 paid_ins_organicebbonus5 app_android Android App04.0
756,189766,189766 6 Directsign up app_android Android App04.0
787,178331,178331 5 paid_ins_organicsign up app_ios iOS App04.0
813,223895,223895 77 paid_ins_organicsign up app_ios iOS App04.0
860,9803,9803 0 paid_ins_organicpartnership app_ios iOS App14.0
868,125101,125101 0 paid_ins_organicpartnership app_android Android App14.0
901,26140,26140 0 paid_ins_googleadwords_intsign up app_android Android App14.0
908,198133,198133 286 paid_ins_organicebbonus5 app_android Android App04.0
912,23476,23476 0 paid_ins_organicpartnership app_ios iOS App14.0
936,93436,93436 289 paid_ins_organicebbonus5 app_ios iOS App04.0
957,53975,53975 242 paid_ins_organicebbonus5 app_ios iOS App04.0
983,211282,211282 264 paid_ins_organicebbonus5 app_ios iOS App04.0
1007,173503,173503 282 paid_ins_organicsign up app_ios iOS App04.0
1017,132238,132238 310 paid_ins_organicebbonus5 app_ios iOS App04.0
1038,107838,107838 0 paid_ins_organicsign up app_ios iOS App14.0
1044,217434,217434 311 paid_ins_organicebbonus5 app_ios iOS App04.0
1071,231429,231429 252 Directebbonus5 app_ios iOS App04.0
1107,19482,19482 211 paid_ins_organicebbonus5 app_ios iOS App04.0
1141,118715,118715 0 paid_ins_organicpartnership app_android Android App14.0
1183,218513,218513 189 paid_ins_organicsign up app_android Android App04.0
1229,49321,49321 131 paid_ins_organicpartnership app_android Android App04.0
1273,171256,171256 122 paid_ins_organicsign up app_android Android App04.0
1288,73393,73393 256 paid_ins_organicebbonus5 app_ios iOS App04.0
1291,35103,35103 282 Directsign up app_android Android App04.0
1312,166605,166605 338 paid_ins_organicebbonus5 app_android Android App04.0
1330,37978,37978 311 paid_ins_organicebbonus5 app_ios iOS App04.0
1340,213883,213883 311 paid_ins_organicsign up app_android Android App04.0
1358,95684,95684 103 paid_ins_organicfriend app_android Android App04.0
1370,156372,156372 211 paid_ins_organicshinhan6000 app_android Android App04.0
1383,42090,42090 22 paid_ins_organicfriend app_ios iOS App04.0
1472,139442,139442 267 paid_ins_organicsign up app_android Android App04.0
1485,249741,249741 0 paid_ins_Facebook Adssign up app_android Android App14.0
1493,154768,154768 254 paid_ins_organicsign up app_android Android App04.0
1504,39329,39329 150 Directsign up app_android Android App04.0
1564,33205,33205 302 paid_ins_organicebbonus5 app_android Android App04.0
1577,37080,37080 317 paid_ins_organicebbonus5 app_android Android App04.0
1631,38296,38296 0 paid_ins_organicsign up app_ios iOS App14.0
1709,106071,106071 191 paid_ins_organicsign up app_android Android App04.0
1734,49298,49298 165 paid_ins_organicfriend app_android Android App04.0
1742,7935,7935 226 paid_rtg_Facebook Adssign up app_ios iOS App04.0
1748,144844,144844 0 paid_ins_organicpartnership app_ios iOS App14.0
1749,231537,231537 322 paid_ins_organicebbonus5 app_ios iOS App04.0
1772,29840,29840 319 paid_ins_organicebbonus5 app_ios iOS App04.0
1775,96955,96955 207 paid_ins_organicfriend app_ios iOS App04.0
1804,80718,80718 319 Directebbonus5 app_android Android App04.0
1810,108574,108574 123 paid_ins_organicfriend app_android Android App04.0
1833,112259,112259 300 paid_ins_organicsign up app_android Android App04.0
1888,55566,55566 139 paid_ins_naversign up app_android Android App04.0
1920,14825,14825 30 paid_ins_organicfriend app_android Android App04.0
1940,83546,83546 0 paid_ins_organicfriend app_android Android App14.0
1979,202665,202665 0 paid_ins_Facebook Adsfriend app_ios iOS App14.0
2012,65256,65256 112 Directsign up app_ios iOS App04.0
2035,194682,194682 166 paid_ins_organicpartnership app_android Android App04.0
2112,179094,179094 131 paid_ins_Facebook Adssign up app_android Android App04.0
2118,241291,241291 0 paid_ins_organicpartnership app_ios iOS App14.0
2119,30611,30611 179 paid_ins_organicsign up app_android Android App04.0
2156,80416,80416 181 paid_ins_organicsign up app_ios iOS App04.0
2157,66865,66865 278 paid_ins_organicebbonus5 app_ios iOS App04.0
2180,235422,235422 14 paid_ins_organicfriend app_ios iOS App04.0
2183,73429,73429 3 paid_ins_organicpartnership app_android Android App04.0
2190,13066,13066 95 paid_ins_googleadwords_intsign up app_android Android App04.0
2207,29113,29113 0 paid_ins_Facebook Adssign up app_android Android App14.0
2213,138417,138417 327 paid_ins_organicebbonus5 app_android Android App04.0
2219,222175,222175 209 paid_ins_organicsamsung10000 app_ios iOS App04.0
2241,4782,4782 267 paid_ins_organicsign up app_android Android App04.0
2244,96682,96682 15 paid_ins_organicsign up app_android Android App04.0
2247,7614,7614 239 paid_ins_organicsamsung10000 app_android Android App04.0
2261,238166,238166 0 paid_ins_af_bannersign up app_ios iOS App14.0
2338,59004,59004 0 paid_ins_organicsign up app_ios iOS App14.0
2369,100617,100617 119 paid_ins_organicpartnership app_android Android App04.0
2372,240376,240376 191 paid_ins_organicfriend app_android Android App04.0
2386,203142,203142 247 paid_ins_organicsign up app_android Android App04.0
